,text,summary
82,"Ex-Team India batting coach Sanjay Bangar has said that spinner Ravichandran Ashwin could challenge Muttiah Muralitharan's record of most wickets in Test cricket if he remains fit for a long time. In the ongoing Test between India and New Zealand, Ashwin became the third-highest wicket-taker in Test cricket for India. He has picked seven wickets in the match so far.", Ravichandran Ashwin could challenge Muttiah Muralitharan's record of most wickets in
83,"New Zealand spinner Ajaz Patel, who took all 10 wickets in India's first innings, claimed another four wickets in the second innings to record the best-ever bowling figures against India in a Test in cricket history. The 33-year-old registered figures of 73.5-15-225-14 in the Test. The previous best bowling figures (48.5-14-106-13) against India were recorded by Ian Botham in 1980.", Ajaz Patel took all 10 wickets in India's first innings in their first innings . The 33-year
84,"Australia announced their playing XI for first Ashes Test against England, that will begin on December 8. It will be the first Test for Australia under captaincy of Pat Cummins. Wicketkeeper Alex Carey will be making his Test debut, while Travis Head will bat at number five. Australia's three main fast bowlers will be Mitchell Starc, Cummins and Josh Hazlewood.", Australia announced their playing XI for first Ashes Test against England . Wicketkeeper Alex Carey will be making his Test
85,Team India captain Virat Kohli's reaction after getting bowled by New Zealand all-rounder Rachin Ravindra in the second innings of the Mumbai Test has gone viral. Kohli under-edged the delivery which went on to hit the stumps. Kohli reacted by standing there and smiling. Kohli got out for 36 runs off 84 deliveries., Virat Kohli was bowled by New Zealand all-rounder Rachin Ravindra in the second
86,"During 37th over of India's second innings in Mumbai Test against New Zealand, Shubman Gill smashed a four off Tim Southee. The crowd at Wankhede stadium was heard chanting 'Sachin, Sachin'. This comes after rumours of Shubman and Sachin Tendulkar's daughter Sara Tendulkar dating each other. During a question-answer session on Instagram in May, Shubman had said he is single."," During 37th over of India's second innings in Mumbai Test against New Zealand, Shubman Gill smashed a"
87,"The spider cam got stuck near the pitch after New Zealand's fourth over in their second innings in the Mumbai Test. This led to the match being briefly stopped and early tea being taken on Day 3. Team India players were seen playing with the spider cam, with Kohli gesturing the spider cam to go up.", The spider cam got stuck near the pitch after New Zealand's fourth over in their second innings in Mumbai Test .
88,"New Zealand ended the Day 3 of the second Test in Mumbai against India at 140/5 in their second innings, needing another 400 runs to win the match and the series. India need five more wickets to win the series. India declared their second innings at 276/7, setting a 540-run target for the Kiwis.", New Zealand end Day 3 of the second Test in Mumbai at 140/5 in their second innings . India need
89,"England skipper Joe Root said that the upcoming Ashes will define his captaincy and added he's not naive enough to think it won't. ""You look at how hard it has been for English captains and English teams over the years. It's been something that doesn't happen very often,"" he added. Root is England's most successful Test captain with 27 wins.", England skipper Joe Root says the upcoming Ashes will define his captaincy . Root is England's most successful Test
90,"Talking about Team India's T20I captain Rohit Sharma, Sachin Tendulkar said the 34-year-old has a very smart cricketing brain. ""Rohit doesn't panic...he is able to absorb pressure is what I saw. That is important when you are leading the side,"" Sachin added. Rohit led India to a 3-0 win against New Zealand in his first series as captain.", Sachin Tendulkar says Rohit Sharma has a very smart cricketing brain . Rohit led India to
91,"India spinner Axar Patel said he didn't have time to think before he went in to bat during India's first innings in the ongoing Test against NZ. ""I was wearing my pads...suddenly I had to go out and play the hat-trick ball,"" revealed Axar. NZ's Ajaz Patel dismissed Wriddhiman Saha and Ravichandran Ashwin off consecutive deliveries in the 72nd over.", Axar Patel said he didn't have time to think before he went in to bat . Ajaz Patel dismissed
92,"Veteran India spinner Harbhajan Singh has said that while Ajinkya Rahane's selection for the upcoming South Africa tour is uncertain, Shreyas Iyer has made a case for himself as a middle-order option. ""Rahane is not scoring runs. Going forward, Iyer could be India's perfect solution,"" he added. India will play three Tests and as many ODIs in SA.", Ajinkya Rahane's selection for the upcoming South Africa tour is uncertain . Harbhajan Singh says
93,"After Cheteshwar Pujara scored 0 and 47 in the ongoing Test against New Zealand, VVS Laxman said it's ""definitely a worry"" that Pujara hasn't scored a hundred in his last 42 Test innings. Laxman also added that the way in which Pujara got out was consistent with his dismissals during England tour. Pujara last scored Test ton in January 2019.", Cheteshwar Pujara hasn't scored a hundred in his last 42 Test innings . VVS L
94,"Australia Test captain Pat Cummins has said that it was a ""tough"" decision to choose between Travis Head and Usman Khawaja as Australia's number five batter in the upcoming Ashes. ""Both are really good options...but Travis has churned out runs in England and here in Australia...he's really ready to go,"" Cummins stated. Travis has scored 1153 runs in 19 Tests."," Australia Test captain Pat Cummins has said that it was a ""tough decision"" between Travis Head and Us"
95,"Ahead of upcoming Ashes, ex-England skipper Michael Vaughan said fast bowler Pat Cummins will be able to lead Australia in Tests despite the workload. ""Never been one to think quick bowlers can be captains...Cummins...[is] very calm personality and obviously high class player, so it should work,"" tweeted Vaughan. Cummins was named Australia's Test captain last month.", Michael Vaughan says fast bowler Pat Cummins will be able to lead Australia in Tests . Ex-England sk
96,"After Ravichandran Ashwin became first bowler this year to reach 50 wickets in Tests, ex-India wicketkeeper-batter Parthiv Patel said, ""Batsmen often talk about 100 but for Ashwin even a '50' is special,"" he added. It's the fourth time Ashwin has achieved this feat in a calendar year. Ashwin dismissed Will Young in second India-New Zealand Test to reach 50-wicket mark.", Ravichandran Ashwin becomes first bowler this year to reach 50 wickets in Tests . Ex-
97,"Talking about why India didn't enforce a follow-on in second Test against New Zealand, veteran India wicketkeeper-batter Dinesh Karthik said the Virat Kohli-led side batted again to get all their bases covered. ""The more you bat, the worse wicket is going to get,"" he added. India declared their second innings at 276/7 to set New Zealand a target of 540.", India declared their second innings at 276/7 to set New Zealand a target of 540 . Dinesh Kar
98,"England's veteran fast bowler James Anderson said that Joe Root has ""improved beyond recognition"" as a Test captain. ""He's brilliant, I think, tactically on the field...He's really headstrong, he knows where he wants the team to go,"" Anderson said. James further added that Root as a skipper is ""keen"" to stay away from sledging."," England's veteran fast bowler James Anderson said Joe Root has ""improved beyond recognition"" as a Test captain"
99,"During BCCI's Annual General Meeting, Brijesh Patel and MKJ Majumdar were inducted in IPL Governing Council. BCCI announced formation of Tours, Fixtures and Technical Committee, Umpires Committee and Differently Abled Cricket Committee. The age limit of match officials and support staff has been increased to 65 from 60 years. India's South Africa tour will begin on December 26, BCCI said.", Brijesh Patel and MKJ Majumdar were inducted in IPL Governing Council . Age limit
100,"Veteran India wicketkeeper-batter Dinesh Karthik took to Twitter to praise New Zealand spinner Ajaz Patel for taking all 10 wickets in a Test innings against India in Mumbai. ""All of the world and he does the unthinkable in the city he was born. Some things are just beyond coincidence...well done #AjazPatel,"" Karthik wrote. Notably, Ajaz was born in Mumbai.", Dinesh Karthik praises Ajaz Patel for taking all 10 wickets in Test innings against India .
101,"India off-spinner Ravichandran Ashwin tried to review umpire's decision after getting bowled off New Zealand's Ajaz Patel in second Test today. Ashwin got clean bowled after which the umpire raised his finger. Ashwin was unaware he got bowled and seemingly thought he got caught behind and signalled for review. However, the umpire used video referral to confirm he was bowled.", Ravichandran Ashwin tried to review umpire's decision after getting bowled off Ajaz Patel .
102,"India ended Day 2 of the Mumbai Test at 69/0, leading New Zealand by 332 runs. Earlier in the day, India dismissed New Zealand for 62 runs, the lowest-ever Test total by any team against India. New Zealand spinner Ajaz Patel took all 10 wickets in India's first innings, becoming the third bowler to take 10-for in a Test innings."," India ended Day 2 of the Mumbai Test at 69/0, leading New Zealand by 332 runs . Ajaz"
103,"After Ajaz Patel took all 10 Indian wickets, India dismissed New Zealand for 62 runs on Day 2 of the second Test in Mumbai. It is the lowest-ever total in Test cricket against India and also the lowest-ever Test total on Indian soil. Ravichandran Ashwin took four wickets, while Mohammed Siraj and Axar Patel took three and two wickets respectively.", India dismisses New Zealand for 62 runs on Day 2 of second Test in Mumbai . Ajaz Patel took all
104,"Ex-England spinner Monty Panesar has predicted England are favourites going into upcoming Ashes series. ""I don't think this Australian team lives up to those expectations and they have that external pressure...England are a better team with the pink ball than Australia are and with Australia having an unknown captain,"" he added. England last won the Ashes in 2015.", Monty Panesar has predicted England are favourites going into upcoming Ashes series . England last won the Ashes in 2015
105,"Ex-New Zealand cricketer Simon Doull has said Team India captain Virat Kohli knows that he needs another hundred to silence some of the critics. ""Kohli is feeling...pressure as much as anyone,"" he added. ""Kohli is too good a player, but let's hope that (century) happens in next Test match,"" he further said. Kohli hasn't scored a century since November 2019.", Ex-New Zealand cricketer Simon Doull says Virat Kohli is feeling pressure as much as anyone
106,"After Krunal Pandya was released by MI ahead of IPL 2022 mega auction, the all-rounder took to Twitter to thank the franchise. ""Six years, three trophies and innumerable memories later, we move ahead and carry with us this beautiful journey with MI,"" he wrote. Krunal represented MI for six seasons since 2016. He scored 1,143 runs and took 51 wickets.", Krunal Pandya was released by MI ahead of IPL 2022 mega auction . Pandya took to Twitter
107,New Zealand spinner Ajaz Patel has created history by taking all 10 wickets in a Test innings. The 33-year-old took all 10 wickets against India in second Test in Mumbai. He registered bowling figures of 47.5-12-119-10. He is the third bowler after ex-India captain Anil Kumble and ex-England spinner Jim Laker to take all 10 wickets in a Test innings., Ajaz Patel took all 10 wickets against India in second Test in Mumbai . The 33-year-old
